;Test true y;Pred
1325;1328.75;1324.2164
1326;1081.84;1081.5978
1327;1210.03;1210.1594
1328;1476.58;1475.8419
1329;1287.1;1289.8687
1330;1452.55;1454.8485
1331;1423.659785;1424.5934
1332;1452.94;1453.439
1333;1234.62;1235.7427
1334;1070.48;1072.066
1335;1238.0;1240.9012
1336;1357.13;1359.5612
1337;1066.77;1069.8174
1338;1297.1;1289.7229
1339;1384.69;1383.2515
1340;1318.4;1324.0731
1341;1440.54;1442.4105
1342;1071.51;1074.1768
1343;1193.11;1192.9865
1344;1455.17;1454.1249
1345;1416.08;1415.2529
1346;1354.904249;1354.2063
1347;1200.01;1202.2257
1348;1496.83;1495.42
1349;1451.66;1453.0254
1350;1204.4;1206.066
1351;1437.47;1438.4983
1352;1307.384039;1311.2106
1353;1258.871559;1258.2046
1354;1443.74;1441.0009
1355;1256.13;1256.6686
1356;1393.29;1406.5745
1357;1323.41;1312.6838
1358;1220.1;1218.7126
1359;1246.53;1242.5958
1360;1203.49;1204.6154
1361;1457.4;1449.6322
1362;1053.0;1049.7379
1363;1525.26;1521.3536
1364;1362.38;1363.5181
1365;1201.87;1204.0925
1366;1049.3;1043.5356
1367;1483.54;1481.0294
1368;1004.6;1006.5675
1369;1350.09;1355.9478
1370;1200.5;1197.3444
1371;1132.46;1131.199
1372;1403.07;1398.7096
1373;1357.0;1359.7653
1374;1411.85;1413.7537
1375;1274.7;1269.8608
1376;1212.04;1210.5477
1377;998.69;999.7878
1378;1396.25;1399.3091
1379;1467.03;1465.8999
1380;1056.8;1060.4194
1381;1437.29;1438.3561
1382;1472.39;1473.1014
1383;1279.4;1279.6523
1384;1203.25;1205.7999
1385;1400.99;1400.8813
1386;1472.67;1475.1703
1387;1539.29;1538.2985
1388;1316.401786;1313.8976
1389;1241.07;1237.0111
1390;1312.09;1309.8165
1391;1475.37;1476.1841
1392;1031.3;1033.9387
1393;1290.75785;1287.4397
1394;1474.55;1467.2874
1395;1486.69;1485.3177
1396;1499.35;1491.384
1397;1382.37;1385.5815
1398;1070.64;1072.1191
1399;1268.07;1266.8097
1400;1335.45727;1336.4006
1401;1290.2;1291.9236
1402;1038.66;1039.2664
1403;1178.56;1181.279
1404;1305.7;1304.5457
1405;1207.2;1202.9585
1406;1212.6;1210.8531
1407;1216.84;1215.9619
1408;1348.88;1346.8755
1409;1394.39;1402.8263
1410;1320.4;1321.0145
1411;1492.22;1494.2838
1412;1393.51;1391.8943
1413;1418.42;1418.7781
1414;1530.57;1529.3363
1415;1353.02;1353.5201
1416;1039.2;1039.2623
1417;1241.72;1242.1505
1418;1520.53;1523.226
1419;1182.1;1181.3115
1420;1234.4;1235.3564
1421;1238.8;1239.4397
1422;1275.9;1276.7731
1423;1045.4;1040.2661
1424;1418.93;1415.0139
1425;1021.0;1021.404
1426;1462.74;1463.0272
1427;1233.9;1228.4032
1428;1209.8;1206.8463
1429;1226.32;1223.609
1430;1318.6;1318.3615
1431;1551.86;1550.591
1432;1259.1;1261.3308
1433;1299.01;1297.3387
1434;1462.54;1460.2704
1435;1332.11;1332.9161
1436;1091.31;1090.5277
1437;1401.48;1400.6978
1438;1256.8;1258.4478
1439;1033.0;1028.8656
1440;1365.02;1362.2013
1441;1298.2;1298.1517
1442;1256.3;1256.0354
1443;1390.32;1392.3174
1444;1303.0;1306.482
1445;1414.93;1413.356
1446;1346.623909;1347.3918
1447;1167.3;1169.4431
1448;1498.73;1497.7854
1449;1179.61;1181.2894
1450;1485.3;1486.971
1451;1036.33;1036.196
1452;1414.03;1412.977
1453;1261.6;1265.7925
1454;1583.72;1578.8562
1455;1017.03;1017.12305
1456;1033.37;1032.9907
1457;1534.56;1534.4905
1458;1564.07;1564.8655
1459;1421.12;1422.0084
1460;1352.0;1346.2345
1461;1269.1;1267.113
1462;1422.99;1400.0966
1463;1032.8;1031.9642
1464;1265.7;1268.4407
1465;1291.579681;1290.5293
1466;1481.1;1480.9121
1467;1183.8;1185.0497
1468;1430.5;1425.6273
1469;1253.4;1254.698
1470;1053.4;1052.4169
1471;1504.13;1504.4292
