M_C;M_A;IS_SYM;P;T;Rho
267.244;280.146;0;147.15;352.95;1309.018984
267.244;280.146;0;147.15;373.25;1296.595036
267.244;280.146;0;156.96;293.75;1350.445441
267.244;280.146;0;156.96;312.85;1338.139665
267.244;280.146;0;156.96;333.15;1325.636418
267.244;280.146;0;156.96;352.95;1313.719361
267.244;280.146;0;156.96;373.25;1301.463603
267.244;280.146;0;166.77;293.75;1354.673971
267.244;280.146;0;166.77;312.85;1342.464075
267.244;280.146;0;166.77;333.15;1330.077314
267.244;280.146;0;166.77;352.95;1318.292337
267.244;280.146;0;166.77;373.25;1306.195963
267.244;280.146;0;176.58;293.75;1358.820713
267.244;280.146;0;176.58;312.85;1346.695312
267.244;280.146;0;176.58;333.15;1334.411537
267.244;280.146;0;176.58;352.95;1322.74658
267.244;280.146;0;176.58;373.25;1310.80155
267.244;280.146;0;186.39;293.75;1362.891793
267.244;280.146;0;186.39;312.85;1350.840019
267.244;280.146;0;186.39;333.15;1338.646297
267.244;280.146;0;186.39;352.95;1327.089894
267.244;280.146;0;186.39;373.25;1315.288817
267.244;280.146;0;196.2;293.75;1366.892822
267.244;280.146;0;196.2;312.85;1354.904249
267.244;280.146;0;196.2;333.15;1342.788133
267.244;280.146;0;196.2;352.95;1331.329335
267.244;280.146;0;196.2;373.25;1319.665368
211.181;280.146;0;0.1019;293.75;1356.301426
211.181;280.146;0;0.1019;312.95;1338.612669
211.181;280.146;0;0.1019;333.15;1320.221424
211.181;280.146;0;0.1019;352.95;1302.382878
211.181;280.146;0;0.1019;373.05;1284.434909
211.181;280.146;0;9.81;293.75;1363.774487
211.181;280.146;0;9.81;312.95;1346.623909
211.181;280.146;0;9.81;333.15;1328.846747
211.181;280.146;0;9.81;352.95;1311.637722
211.181;280.146;0;9.81;373.05;1294.324113
211.181;280.146;0;19.62;293.75;1370.90022
211.181;280.146;0;19.62;312.95;1354.232311
211.181;280.146;0;19.62;333.15;1337.000864
211.181;280.146;0;19.62;352.95;1320.34049
211.181;280.146;0;19.62;373.05;1303.560852
211.181;280.146;0;29.43;293.75;1377.657267
211.181;280.146;0;29.43;312.95;1361.421321
211.181;280.146;0;29.43;333.15;1344.675547
211.181;280.146;0;29.43;352.95;1328.496792
211.181;280.146;0;29.43;373.05;1312.173799
211.181;280.146;0;39.24;293.75;1384.089404
211.181;280.146;0;39.24;312.95;1368.244387
211.181;280.146;0;39.24;333.15;1351.935865
211.181;280.146;0;39.24;352.95;1336.185716
211.181;280.146;0;39.24;373.05;1320.260454
211.181;280.146;0;49.05;293.75;1390.232654
211.181;280.146;0;49.05;312.95;1374.744806
211.181;280.146;0;49.05;333.15;1358.833758
211.181;280.146;0;49.05;352.95;1343.469407
211.181;280.146;0;49.05;373.05;1327.895953
211.181;280.146;0;58.86;293.75;1396.117061
211.181;280.146;0;58.86;312.95;1380.958202
211.181;280.146;0;58.86;333.15;1365.411429
211.181;280.146;0;58.86;352.95;1350.397693
211.181;280.146;0;58.86;373.05;1335.139561
211.181;280.146;0;68.67;293.75;1401.76797
211.181;280.146;0;68.67;312.95;1386.914285
211.181;280.146;0;68.67;333.15;1371.703693
211.181;280.146;0;68.67;352.95;1357.011216
211.181;280.146;0;68.67;373.05;1342.038942
211.181;280.146;0;78.48;293.75;1407.206982
211.181;280.146;0;78.48;312.95;1392.638123
211.181;280.146;0;78.48;333.15;1377.739653
211.181;280.146;0;78.48;352.95;1363.34361
211.181;280.146;0;78.48;373.05;1348.633072
211.181;280.146;0;88.29;293.75;1412.45268
211.181;280.146;0;88.29;312.95;1398.151085
211.181;280.146;0;88.29;333.15;1383.543911
211.181;280.146;0;88.29;352.95;1369.423066
211.181;280.146;0;88.29;373.05;1354.954271
211.181;280.146;0;98.1;293.75;1417.521174
211.181;280.146;0;98.1;312.95;1403.47156
211.181;280.146;0;98.1;333.15;1389.137483
211.181;280.146;0;98.1;352.95;1375.273478
211.181;280.146;0;98.1;373.05;1361.02968
211.181;280.146;0;107.91;293.75;1422.42654
211.181;280.146;0;107.91;312.95;1408.615495
211.181;280.146;0;107.91;333.15;1394.538474
211.181;280.146;0;107.91;352.95;1380.915294
211.181;280.146;0;107.91;373.05;1366.882331
211.181;280.146;0;117.72;293.75;1427.181152
211.181;280.146;0;117.72;312.95;1413.596827
211.181;280.146;0;117.72;333.15;1399.762615
211.181;280.146;0;117.72;352.95;1386.366168
211.181;280.146;0;117.72;373.05;1372.531964
211.181;280.146;0;127.53;293.75;1431.795957
211.181;280.146;0;127.53;312.95;1418.427812
211.181;280.146;0;127.53;333.15;1404.823667
211.181;280.146;0;127.53;352.95;1391.641459
211.181;280.146;0;127.53;373.05;1377.995638
211.181;280.146;0;137.34;293.75;1436.280691
211.181;280.146;0;137.34;312.95;1423.119296
211.181;280.146;0;137.34;333.15;1409.733746
211.181;280.146;0;137.34;352.95;1396.754626
211.181;280.146;0;137.34;373.05;1383.288209
211.181;280.146;0;147.15;293.75;1440.644058
211.181;280.146;0;147.15;312.95;1427.680927
211.181;280.146;0;147.15;333.15;1414.503586
211.181;280.146;0;147.15;352.95;1401.717535
211.181;280.146;0;147.15;373.05;1388.422705
211.181;280.146;0;156.96;293.75;1444.893872
211.181;280.146;0;156.96;312.95;1432.121336
211.181;280.146;0;156.96;333.15;1419.142748
211.181;280.146;0;156.96;352.95;1406.540711
211.181;280.146;0;156.96;373.05;1393.41062
211.181;280.146;0;166.77;293.75;1449.037182
211.181;280.146;0;166.77;312.95;1436.44827
211.181;280.146;0;166.77;333.15;1423.659785
211.181;280.146;0;166.77;352.95;1411.233535
211.181;280.146;0;166.77;373.05;1398.262157
211.181;280.146;0;176.58;293.75;1453.080369
211.181;280.146;0;176.58;312.95;1440.668722
211.181;280.146;0;176.58;333.15;1428.062388
211.181;280.146;0;176.58;352.95;1415.804415
211.181;280.146;0;176.58;373.05;1402.986417
211.181;280.146;0;186.39;293.75;1457.029232
211.181;280.146;0;186.39;312.95;1444.789024
211.181;280.146;0;186.39;333.15;1432.357502
211.181;280.146;0;186.39;352.95;1420.260915
211.181;280.146;0;186.39;373.05;1407.591555
211.181;280.146;0;196.2;293.75;1460.889055
211.181;280.146;0;196.2;312.95;1448.81493
211.181;280.146;0;196.2;333.15;1436.551419
211.181;280.146;0;196.2;352.95;1424.609869
211.181;280.146;0;196.2;373.05;1412.084916
239.212;280.146;0;0.1;295.15;1324.42172
239.212;280.146;0;0.1;313.15;1308.614818
239.212;280.146;0;0.1;333.45;1290.76232
239.212;280.146;0;0.1;353.45;1273.236171
239.212;280.146;0;0.1;373.15;1256.12275
239.212;280.146;0;10;295.15;1331.897635
239.212;280.146;0;10;313.15;1316.553467
239.212;280.146;0;10;333.45;1299.312751
239.212;280.146;0;10;353.45;1282.457968
239.212;280.146;0;10;373.15;1266.031562
239.212;280.146;0;20;295.15;1339.034107
239.212;280.146;0;20;313.15;1324.092446
239.212;280.146;0;20;333.45;1307.384039
239.212;280.146;0;20;353.45;1291.11257
239.212;280.146;0;20;373.15;1275.281809
239.212;280.146;0;30;295.15;1345.798547
239.212;280.146;0;30;313.15;1331.21473
239.212;280.146;0;30;333.45;1314.974042
239.212;280.146;0;30;353.45;1299.209242
239.212;280.146;0;30;373.15;1283.890186
239.212;280.146;0;40;295.15;1352.235501
239.212;280.146;0;40;313.15;1337.973997
239.212;280.146;0;40;333.45;1322.149298
239.212;280.146;0;40;353.45;1306.830199
239.212;280.146;0;40;373.15;1291.957231
239.212;280.146;0;50;295.15;1358.381454
239.212;280.146;0;50;313.15;1344.413593
239.212;280.146;0;50;333.45;1328.962745
239.212;280.146;0;50;353.45;1314.039901
239.212;280.146;0;50;373.15;1299.560593
239.212;280.146;0;60;295.15;1364.266701
239.212;280.146;0;60;313.15;1350.569078
239.212;280.146;0;60;333.45;1335.45727
239.212;280.146;0;60;353.45;1320.889926
239.212;280.146;0;60;373.15;1306.76163
239.212;280.146;0;70;295.15;1369.9167
239.212;280.146;0;70;313.15;1356.470026
239.212;280.146;0;70;333.45;1341.668152
